# wl,power_uw,delta_A_mhz,delta_B_mhz,scatter_A_hz,P_g_A,P_e_A,P_r_A,P_g_B,P_e_B,P_r_B,not_pinned,leakage,crosstalk,scatter_penalty,total_cost,delta_A_over_Omega
7.810000e+02,1.600000e+02,-7.069596e+01,-8.953054e-13,8.119569e+02,9.980723e-01,1.609184e-06,1.926141e-03,3.125303e-03,7.866634e-04,9.960880e-01,1.927750e-03,1.609184e-06,3.911967e-03,3.647139e-03,9.486856e-03,1.861951e+01
7.810000e+02,3.060248e+02,-1.352170e+02,-1.712410e-12,1.552994e+03,9.999984e-01,1.232821e-09,1.616299e-06,3.125303e-03,7.866635e-04,9.960880e-01,1.617536e-06,1.232821e-09,3.911967e-03,6.964109e-03,1.087769e-02,3.561271e+01
7.810000e+02,4.520497e+02,-1.997380e+02,-2.529516e-12,2.294030e+03,9.999999e-01,1.847728e-10,9.749041e-08,3.125303e-03,7.866634e-04,9.960880e-01,9.767934e-08,1.847728e-10,3.911967e-03,1.027004e-02,1.418210e-02,5.260590e+01
7.810000e+02,5.980745e+02,-2.642591e+02,-3.346621e-12,3.035067e+03,1.000000e+00,1.995096e-11,4.419359e-09,3.125303e-03,7.866634e-04,9.960880e-01,4.443454e-09,1.995096e-11,3.911966e-03,1.356496e-02,1.747693e-02,6.959910e+01
7.810000e+02,7.440993e+02,-3.287801e+02,-4.163726e-12,3.776104e+03,1.000000e+00,4.088876e-12,3.230418e-09,3.125303e-03,7.866634e-04,9.960880e-01,3.238636e-09,4.088876e-12,3.911966e-03,1.684891e-02,2.076088e-02,8.659229e+01
7.822500e+02,1.600000e+02,-2.532176e+01,-3.206790e-13,1.171008e+02,1.451344e-02,7.944263e-04,9.846921e-01,3.125303e-03,7.866635e-04,9.960880e-01,9.854866e-01,7.944263e-04,3.911967e-03,5.268148e-04,9.899253e-01,6.669106e+00
7.822500e+02,3.060248e+02,-4.843180e+01,-6.133483e-13,2.239735e+02,9.704265e-01,2.427975e-05,2.954922e-02,3.125303e-03,7.866634e-04,9.960880e-01,2.957350e-02,2.427975e-05,3.911967e-03,1.007373e-03,3.449283e-02,1.275570e+01
7.822500e+02,4.520497e+02,-7.154183e+01,-9.060176e-13,3.308461e+02,9.981505e-01,1.545362e-06,1.847978e-03,3.125303e-03,7.866634e-04,9.960880e-01,1.849523e-03,1.545362e-06,3.911967e-03,1.487700e-03,7.249190e-03,1.884229e+01
7.822500e+02,5.980745e+02,-9.465187e+01,-1.198687e-12,4.377188e+02,9.998373e-01,1.419230e-07,1.625882e-04,3.125303e-03,7.866634e-04,9.960880e-01,1.627302e-04,1.419230e-07,3.911966e-03,1.967796e-03,6.042493e-03,2.492889e+01
7.822500e+02,7.440993e+02,-1.177619e+02,-1.491356e-12,5.445914e+02,9.999923e-01,6.525469e-09,7.730416e-06,3.125303e-03,7.866635e-04,9.960880e-01,7.736946e-06,6.525469e-09,3.911967e-03,2.447661e-03,6.367365e-03,3.101548e+01
