# distance_um=4.5
# waist_um=2.0
# t_gate_us=4.5
# delta_start_mhz=-40.0
# delta_end_mhz=40.0
# wl_min=781.0
# wl_max=786.0
# n_wl=60
# power_min_uw=140.0
# power_max_uw=500.0
# n_power=40
# wl,power_uw,delta_A_mhz,delta_B_mhz,scatter_A_hz,P_gg,P_gr,P_rg,P_rr,pinning_leak,crosstalk,scatter_penalty,total_cost,P_target,other_residual,delta_A_over_Omega,delta_A_over_V
7.810000e+02,1.400000e+02,-6.185897e+01,-2.478398e-03,7.104623e+02,2.049060e-03,9.971613e-01,1.914705e-06,1.479010e-07,2.062606e-06,2.049060e-03,3.191975e-03,5.243097e-03,9.971613e-01,7.875746e-04,1.629207e+01,5.877144e-01
7.810000e+02,1.492308e+02,-6.593758e+01,-2.641809e-03,7.573060e+02,2.151567e-03,9.970580e-01,2.808213e-06,1.433433e-07,2.951556e-06,2.151567e-03,3.402077e-03,5.556595e-03,9.970580e-01,7.874798e-04,1.736628e+01,6.264648e-01
7.810000e+02,1.584615e+02,-7.001619e+01,-2.805220e-03,8.041496e+02,2.231536e-03,9.969762e-01,4.753036e-06,1.486161e-07,4.901652e-06,2.231536e-03,3.612134e-03,5.848572e-03,9.969762e-01,7.874054e-04,1.844048e+01,6.652152e-01
7.810000e+02,1.676923e+02,-7.409481e+01,-2.968630e-03,8.509933e+02,2.299713e-03,9.969087e-01,4.115091e-06,1.519950e-07,4.267086e-06,2.299713e-03,3.822147e-03,6.126127e-03,9.969087e-01,7.873421e-04,1.951468e+01,7.039656e-01
7.810000e+02,1.769231e+02,-7.817342e+01,-3.132041e-03,8.978370e+02,2.358368e-03,9.968523e-01,1.939274e-06,1.481155e-07,2.087389e-06,2.358368e-03,4.032116e-03,6.392571e-03,9.968523e-01,7.872879e-04,2.058888e+01,7.427160e-01
7.810000e+02,1.861538e+02,-8.225203e+01,-3.295452e-03,9.446807e+02,2.407292e-03,9.968049e-01,4.681717e-07,1.371015e-07,6.052732e-07,2.407292e-03,4.242040e-03,6.649938e-03,9.968049e-01,7.872426e-04,2.166309e+01,7.814664e-01
7.810000e+02,1.953846e+02,-8.633065e+01,-3.458863e-03,9.915243e+02,2.447899e-03,9.967646e-01,1.487331e-07,1.212684e-07,2.700015e-07,2.447899e-03,4.451920e-03,6.900089e-03,9.967646e-01,7.872050e-04,2.273729e+01,8.202168e-01
7.810000e+02,2.046154e+02,-9.040926e+01,-3.622274e-03,1.038368e+03,2.482334e-03,9.967300e-01,3.846731e-07,1.018894e-07,4.865626e-07,2.482334e-03,4.661756e-03,7.144576e-03,9.967300e-01,7.871730e-04,2.381149e+01,8.589672e-01
7.810000e+02,2.138462e+02,-9.448787e+01,-3.785685e-03,1.085212e+03,2.512330e-03,9.966999e-01,5.923636e-07,7.925278e-08,6.716164e-07,2.512330e-03,4.871548e-03,7.384549e-03,9.966999e-01,7.871453e-04,2.488570e+01,8.977176e-01
7.810000e+02,2.230769e+02,-9.856649e+01,-3.949096e-03,1.132055e+03,2.539043e-03,9.966733e-01,4.610879e-07,5.605068e-08,5.171386e-07,2.539043e-03,5.081295e-03,7.620856e-03,9.966733e-01,7.871206e-04,2.595990e+01,9.364680e-01
