# distance_um=4.5
# waist_um=2.0
# t_gate_us=4.5
# delta_start_mhz=-11.4
# delta_end_mhz=11.4
# wl_min=781.0
# wl_max=786.0
# n_wl=60
# power_min_uw=140.0
# power_max_uw=500.0
# n_power=40
# rabi_420_hz=135000000.0
# rabi_1013_hz=135000000.0
# Delta_hz=2400000000.0
# ac_stark_peak_mhz=1.8984375
# ac_stark_off=False
# sweep_delta_min_mhz=11.4
# sweep_delta_max_mhz=11.4
# n_delta=1
# sweep_tgate_min_us=4.5
# sweep_tgate_max_us=4.5
# n_tgate=1
# fix_wl=None
# fix_power_uw=None
# wl,power_uw,delta_A_mhz,delta_B_mhz,scatter_A_hz,P_gg,P_gr,P_rg,P_rr,pinning_leak,crosstalk,scatter_penalty,total_cost,P_target,other_residual,delta_A_over_Omega,delta_A_over_V,delta_half_mhz,t_gate_us
7.810000e+02,1.400000e+02,-6.185897e+01,-2.478398e-03,7.104623e+02,8.667034e-03,9.905310e-01,1.951302e-05,1.047556e-07,1.961778e-05,8.667034e-03,3.191975e-03,1.187863e-02,9.905310e-01,7.823011e-04,1.629207e+01,5.877144e-01,1.140000e+01,4.500000e+00
7.810000e+02,1.492308e+02,-6.593758e+01,-2.641809e-03,7.573060e+02,8.735971e-03,9.904752e-01,6.519592e-06,8.011800e-08,6.599710e-06,8.735971e-03,3.402077e-03,1.214465e-02,9.904752e-01,7.822499e-04,1.736628e+01,6.264648e-01,1.140000e+01,4.500000e+00
7.810000e+02,1.584615e+02,-7.001619e+01,-2.805220e-03,8.041496e+02,8.776338e-03,9.904394e-01,1.973577e-06,5.343858e-08,2.027016e-06,8.776338e-03,3.612134e-03,1.239050e-02,9.904394e-01,7.822211e-04,1.844048e+01,6.652152e-01,1.140000e+01,4.500000e+00
7.810000e+02,1.676923e+02,-7.409481e+01,-2.968630e-03,8.509933e+02,8.795576e-03,9.904202e-01,2.023527e-06,3.389810e-08,2.057426e-06,8.795576e-03,3.822147e-03,1.261978e-02,9.904202e-01,7.822087e-04,1.951468e+01,7.039656e-01,1.140000e+01,4.500000e+00
7.810000e+02,1.769231e+02,-7.817342e+01,-3.132041e-03,8.978370e+02,8.802429e-03,9.904127e-01,2.591937e-06,2.431034e-08,2.616248e-06,8.802429e-03,4.032116e-03,1.283716e-02,9.904127e-01,7.822059e-04,2.058888e+01,7.427160e-01,1.140000e+01,4.500000e+00
7.810000e+02,1.861538e+02,-8.225203e+01,-3.295452e-03,9.446807e+02,8.802399e-03,9.904131e-01,2.250974e-06,2.192838e-08,2.272903e-06,8.802399e-03,4.242040e-03,1.304671e-02,9.904131e-01,7.822081e-04,2.166309e+01,7.814664e-01,1.140000e+01,4.500000e+00
7.810000e+02,1.953846e+02,-8.633065e+01,-3.458863e-03,9.915243e+02,8.798143e-03,9.904182e-01,1.408132e-06,2.336501e-08,1.431497e-06,8.798143e-03,4.451920e-03,1.325149e-02,9.904182e-01,7.822133e-04,2.273729e+01,8.202168e-01,1.140000e+01,4.500000e+00
7.810000e+02,2.046154e+02,-9.040926e+01,-3.622274e-03,1.038368e+03,8.790642e-03,9.904262e-01,8.840095e-07,2.546144e-08,9.094709e-07,8.790642e-03,4.661756e-03,1.345331e-02,9.904262e-01,7.822209e-04,2.381149e+01,8.589672e-01,1.140000e+01,4.500000e+00
7.810000e+02,2.138462e+02,-9.448787e+01,-3.785685e-03,1.085212e+03,8.780568e-03,9.904364e-01,7.416400e-07,2.573888e-08,7.673789e-07,8.780568e-03,4.871548e-03,1.365288e-02,9.904364e-01,7.822304e-04,2.488570e+01,8.977176e-01,1.140000e+01,4.500000e+00
7.810000e+02,2.230769e+02,-9.856649e+01,-3.949096e-03,1.132055e+03,8.768835e-03,9.904483e-01,6.122699e-07,2.447899e-08,6.367489e-07,8.768835e-03,5.081295e-03,1.385077e-02,9.904483e-01,7.822409e-04,2.595990e+01,9.364680e-01,1.140000e+01,4.500000e+00
