# distance_um=4.5
# waist_um=2.0
# t_gate_us=9
# delta_start_mhz=-80
# delta_end_mhz=80
# wl_min=781.0
# wl_max=786.0
# n_wl=60
# power_min_uw=140.0
# power_max_uw=500.0
# n_power=40
# rabi_420_hz=135000000.0
# rabi_1013_hz=135000000.0
# Delta_hz=2400000000.0
# ac_stark_peak_mhz=1.8984375
# ac_stark_off=False
# sweep_delta_min_mhz=80.0
# sweep_delta_max_mhz=80.0
# n_delta=1
# sweep_tgate_min_us=9.0
# sweep_tgate_max_us=9.0
# n_tgate=1
# fix_wl=None
# fix_power_uw=None
# wl,power_uw,delta_A_mhz,delta_B_mhz,scatter_A_hz,P_gg,P_gr,P_rg,P_rr,pinning_leak,crosstalk,scatter_penalty,total_cost,P_target,other_residual,delta_A_over_Omega,delta_A_over_V,delta_half_mhz,t_gate_us
7.810000e+02,1.400000e+02,-6.185897e+01,-2.478398e-03,7.104623e+02,3.535096e-06,9.988966e-01,3.096437e-04,1.052569e-06,3.106963e-04,3.535096e-06,6.373762e-03,6.687993e-03,9.988966e-01,7.891642e-04,1.629207e+01,5.877144e-01,8.000000e+01,9.000000e+00
7.810000e+02,1.492308e+02,-6.593758e+01,-2.641809e-03,7.573060e+02,1.137813e-05,9.988382e-01,3.603611e-04,1.027092e-06,3.613882e-04,1.137813e-05,6.792579e-03,7.165346e-03,9.988382e-01,7.890706e-04,1.736628e+01,6.264648e-01,8.000000e+01,9.000000e+00
7.810000e+02,1.584615e+02,-7.001619e+01,-2.805220e-03,8.041496e+02,3.895784e-05,9.987938e-01,3.726118e-04,5.519421e-06,3.781313e-04,3.895784e-05,7.211220e-03,7.628309e-03,9.987938e-01,7.891570e-04,1.844048e+01,6.652152e-01,8.000000e+01,9.000000e+00
7.810000e+02,1.676923e+02,-7.409481e+01,-2.968630e-03,8.509933e+02,2.827713e-05,9.988956e-01,2.865909e-04,2.923876e-07,2.868833e-04,2.827713e-05,7.629685e-03,7.944845e-03,9.988956e-01,7.891932e-04,1.951468e+01,7.039656e-01,8.000000e+01,9.000000e+00
7.810000e+02,1.769231e+02,-7.817342e+01,-3.132041e-03,8.978370e+02,1.719661e-04,9.988713e-01,1.645778e-04,2.742685e-06,1.673205e-04,1.719661e-04,8.047973e-03,8.387260e-03,9.988713e-01,7.893799e-04,2.058888e+01,7.427160e-01,8.000000e+01,9.000000e+00
7.810000e+02,1.861538e+02,-8.225203e+01,-3.295452e-03,9.446807e+02,2.371811e-04,9.989341e-01,3.879419e-05,6.171546e-07,3.941135e-05,2.371811e-04,8.466085e-03,8.742677e-03,9.989341e-01,7.893150e-04,2.166309e+01,7.814664e-01,8.000000e+01,9.000000e+00
7.810000e+02,1.953846e+02,-8.633065e+01,-3.458863e-03,9.915243e+02,3.146352e-04,9.988789e-01,1.719596e-05,3.741187e-07,1.757008e-05,3.146352e-04,8.884021e-03,9.216226e-03,9.988789e-01,7.889017e-04,2.273729e+01,8.202168e-01,8.000000e+01,9.000000e+00
7.810000e+02,2.046154e+02,-9.040926e+01,-3.622274e-03,1.038368e+03,3.702417e-04,9.988322e-01,8.677727e-06,2.847703e-07,8.962497e-06,3.702417e-04,9.301780e-03,9.680984e-03,9.988322e-01,7.886247e-04,2.381149e+01,8.589672e-01,8.000000e+01,9.000000e+00
7.810000e+02,2.138462e+02,-9.448787e+01,-3.785685e-03,1.085212e+03,4.069320e-04,9.987997e-01,4.672587e-06,2.152791e-07,4.887866e-06,4.069320e-04,9.719364e-03,1.013118e-02,9.987997e-01,7.884563e-04,2.488570e+01,8.977176e-01,8.000000e+01,9.000000e+00
7.810000e+02,2.230769e+02,-9.856649e+01,-3.949096e-03,1.132055e+03,4.305622e-04,9.987773e-01,3.670652e-06,1.569421e-07,3.827594e-06,4.305622e-04,1.013677e-02,1.057116e-02,9.987773e-01,7.883541e-04,2.595990e+01,9.364680e-01,8.000000e+01,9.000000e+00
