L,g,m_s2,R,t_s
3,2.500000,0.250382,0.567307,6.34
3,2.600000,0.239029,0.541330,6.61
3,2.700000,0.229270,0.517197,5.79
3,2.800000,0.220814,0.494788,4.08
3,2.900000,0.213432,0.473979,5.25
3,3.000000,0.206940,0.454641,5.80
3,3.100000,0.201195,0.436653,6.93
3,3.200000,0.196080,0.419901,4.37
3,3.300000,0.191499,0.404277,4.93
3,3.400000,0.187376,0.389685,5.02
3,3.500000,0.183647,0.376036,5.58
3,3.600000,0.180260,0.363249,5.98
4,2.500000,0.198673,0.636033,66.18
4,2.600000,0.182219,0.597765,67.03
4,2.700000,0.169004,0.562505,65.56
4,2.800000,0.158239,0.530213,64.25
4,2.900000,0.149345,0.500725,66.61
4,3.000000,0.141901,0.473824,67.55
4,3.100000,0.135595,0.449274,63.33
4,3.200000,0.130194,0.426844,65.26
4,3.300000,0.125524,0.406315,60.86
4,3.400000,0.121448,0.387488,60.54
4,3.500000,0.117864,0.370183,60.73
4,3.600000,0.114688,0.354242,59.72
5,2.600000,0.157502,0.648926,302.03
5,2.850000,0.120261,0.534437,311.43
5,3.050000,0.103493,0.462803,287.45
5,3.250000,0.092427,0.405764,275.23
5,3.500000,0.083042,0.349938,292.48
